county,census_tract,house_price_index,median_income,population,shop_type,num_shops
Bristol,25005600100,234.87,79722,3891,dunkin_donuts,0
Bristol,25005600100,234.87,79722,3891,starbucks,0
Bristol,25005600202,225.68,70571,4583,dunkin_donuts,0
Bristol,25005600202,225.68,70571,4583,starbucks,0
Bristol,25005600203,258.55,121607,5419,dunkin_donuts,0
Bristol,25005600203,258.55,121607,5419,starbucks,1
Bristol,25005600204,211.45,114769,3999,dunkin_donuts,1
Bristol,25005600204,211.45,114769,3999,starbucks,0
Bristol,25005610100,288.76,72042,5408,dunkin_donuts,1
Bristol,25005610100,288.76,72042,5408,starbucks,0
Bristol,25005610202,304.43,126840,5626,dunkin_donuts,2
Bristol,25005610202,304.43,126840,5626,starbucks,0
Bristol,25005610203,287.08,103542,6720,dunkin_donuts,1
Bristol,25005610203,287.08,103542,6720,starbucks,0
Bristol,25005610204,238.96,101118,5635,dunkin_donuts,0
Bristol,25005610204,238.96,101118,5635,starbucks,0
Bristol,25005611101,235,89934,4470,dunkin_donuts,0
Bristol,25005611101,235,89934,4470,starbucks,0
Bristol,25005611102,213.87,90703,5170,dunkin_donuts,0
Bristol,25005611102,213.87,90703,5170,starbucks,0
Bristol,25005611201,238.43,82361,3078,dunkin_donuts,1
Bristol,25005611201,238.43,82361,3078,starbucks,0
Bristol,25005611202,327.37,70308,6562,dunkin_donuts,2
Bristol,25005611202,327.37,70308,6562,starbucks,0
Bristol,25005612100,207.35,94340,4410,dunkin_donuts,4
Bristol,25005612100,207.35,94340,4410,starbucks,1
Bristol,25005612200,219.23,75967,9107,dunkin_donuts,2
Bristol,25005612200,219.23,75967,9107,starbucks,0
Bristol,25005613100,232.03,49067,6652,dunkin_donuts,1
Bristol,25005613100,232.03,49067,6652,starbucks,0
Bristol,25005613300,213.37,77441,7487,dunkin_donuts,1
Bristol,25005613300,213.37,77441,7487,starbucks,0
Bristol,25005613400,214.8,71116,3640,dunkin_donuts,2
Bristol,25005613400,214.8,71116,3640,starbucks,0
Bristol,25005613600,115.52,36619,4087,dunkin_donuts,1
Bristol,25005613600,115.52,36619,4087,starbucks,0
Bristol,25005613700,189.4,42487,3912,dunkin_donuts,1
Bristol,25005613700,189.4,42487,3912,starbucks,0
Bristol,25005613800,,29688,4681,dunkin_donuts,3
Bristol,25005613800,,29688,4681,starbucks,0
Bristol,25005613901,160.59,40424,2683,dunkin_donuts,0
Bristol,25005613901,160.59,40424,2683,starbucks,0
Bristol,25005613902,171.98,63603,4702,dunkin_donuts,0
